"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
",VALUE ,FFM CAP ,"NM 52W H 
","NM 52W L 
",Date
GAIL,138.50,140.00,4.00,2.94,140.00,145557,"20,377,980.00","256,108,405,860.81",157.95,65.60,22-Mar-2021
POWERGRID,230.20,234.40,4.20,1.82,234.40,151864,"35,596,921.60","590,112,849,115.10",238.30,140.10,22-Mar-2021
BPCL,432.95,438.25,5.30,1.22,438.25,153919,"67,455,001.75","347,495,850,940.48",482.40,252.00,22-Mar-2021
COALINDIA,136.30,137.60,1.30,0.95,137.60,37727,"5,191,235.20","285,593,156,129.83",163.00,109.55,22-Mar-2021
IOC,98.75,99.65,0.90,0.91,99.65,89246,"8,893,363.90","251,005,012,257.83",105.00,71.15,22-Mar-2021
BHARTIARTL,529.95,533.05,3.10,0.58,533.05,44370,"23,651,428.50","1,272,115,952,924.19",623.00,361.75,22-Mar-2021
GRASIM,"1,411.25","1,419.00",7.75,0.55,"1,419.00",4590,"6,513,210.00","547,824,874,786.49","1,415.00",385.05,22-Mar-2021
INFY,"1,344.45","1,350.10",5.65,0.42,"1,350.10",19742,"26,653,674.20","4,982,251,584,797.06","1,406.00",509.25,22-Mar-2021
HEROMOTOCO,"3,119.15","3,131.60",12.45,0.40,"3,131.60",1601,"5,013,691.60","405,018,341,475.48","3,629.05","1,475.00",22-Mar-2021
NTPC,108.50,108.80,0.30,0.28,108.80,64671,"7,036,204.80","526,044,137,791.20",114.70,73.20,22-Mar-2021
EICHERMOT,"2,661.50","2,668.00",6.50,0.24,"2,668.00",1165,"3,108,220.00","370,897,000,047.00","3,037.00","1,245.01",22-Mar-2021
SBIN,371.15,372.00,0.85,0.23,372.00,58819,"21,880,668.00","1,424,318,915,462.96",427.70,149.45,22-Mar-2021
CIPLA,760.65,762.00,1.35,0.18,762.00,3088,"2,353,056.00","386,456,632,837.16",878.90,362.90,22-Mar-2021
ITC,222.95,223.30,0.35,0.16,223.30,138943,"31,025,971.90","1,947,819,608,480.56",239.20,139.00,22-Mar-2021
HDFCLIFE,688.45,689.45,1.00,0.15,689.45,3533,"2,435,826.85","542,342,290,105.57",746.00,340.00,22-Mar-2021
WIPRO,410.50,411.05,0.55,0.13,411.05,17978,"7,389,856.90","609,998,034,238.97",467.45,159.40,22-Mar-2021
JSWSTEEL,440.55,441.00,0.45,0.10,441.00,18639,"8,219,799.00","425,962,585,936.80",446.30,132.50,22-Mar-2021
BAJAJFINSV,"9,440.65","9,450.00",9.35,0.10,"9,450.00",355,"3,354,750.00","570,897,146,065.47","10,579.00","3,985.30",22-Mar-2021
DRREDDY,"4,274.45","4,276.90",2.45,0.06,"4,276.90",1853,"7,925,095.70","518,908,076,813.43","5,512.65","2,495.05",22-Mar-2021
SUNPHARMA,578.30,578.60,0.30,0.05,578.60,5042,"2,917,301.20","624,390,935,917.95",654.40,312.00,22-Mar-2021
TECHM,989.45,989.90,0.45,0.05,989.90,3000,"2,969,700.00","612,534,780,876.48","1,081.55",471.40,22-Mar-2021
ICICIBANK,586.65,586.85,0.20,0.03,586.85,117566,"68,993,607.10","4,049,844,873,866.85",679.40,268.30,22-Mar-2021
DIVISLAB,"3,370.30","3,371.35",1.05,0.03,"3,371.35",889,"2,997,130.15","429,460,202,483.52","3,914.95","1,631.05",22-Mar-2021
BAJAJ-AUTO,"3,650.05","3,650.20",0.15,0.00,"3,650.20",1048,"3,825,409.60","475,291,841,107.95","4,361.40","1,788.65",22-Mar-2021
NESTLEIND,"16,450.85","16,451.00",0.15,0.00,"16,451.00",68,"1,118,668.00","586,864,578,176.68","18,844.00","12,200.00",22-Mar-2021
HCLTECH,960.45,960.45,-,-,960.45,7275,"6,987,273.75","1,042,535,856,581.28","1,067.00",375.25,22-Mar-2021
HINDALCO,335.10,335.10,-,-,335.10,27657,"9,267,860.70","489,339,462,640.47",361.30,84.90,22-Mar-2021
ONGC,110.50,110.50,-,-,110.50,52031,"5,749,425.50","403,135,047,156.27",122.35,58.10,22-Mar-2021
TITAN,"1,465.45","1,465.00",-0.45,-0.03,"1,465.00",2758,"4,040,470.00","611,472,927,240.84","1,621.35",720.90,22-Mar-2021
ADANIPORTS,686.25,686.00,-0.25,-0.04,686.00,22990,"15,771,140.00","501,944,272,555.05",767.80,203.00,22-Mar-2021
TCS,"3,050.20","3,048.70",-1.50,-0.05,"3,048.70",16282,"49,638,933.40","3,204,746,672,467.54","3,339.80","1,546.75",22-Mar-2021
M&M,850.30,849.80,-0.50,-0.06,849.80,12842,"10,913,131.60","813,956,697,525.66",952.05,245.40,22-Mar-2021
HDFC,"2,531.65","2,530.10",-1.55,-0.06,"2,530.10",17777,"44,977,587.70","4,549,676,020,146.95","2,896.00","1,473.45",22-Mar-2021
KOTAKBANK,"1,834.15","1,833.00",-1.15,-0.06,"1,833.00",4848,"8,886,384.00","2,687,104,918,749.35","2,049.00","1,001.00",22-Mar-2021
UPL,625.45,624.95,-0.50,-0.08,624.95,7208,"4,504,639.60","344,068,005,927.74",639.55,240.15,22-Mar-2021
HINDUNILVR,"2,312.05","2,310.10",-1.95,-0.08,"2,310.10",17626,"40,717,822.60","2,064,270,784,961.65","2,614.30","1,757.30",22-Mar-2021
ULTRACEMCO,"6,672.00","6,665.90",-6.10,-0.09,"6,665.90",384,"2,559,705.60","770,314,174,732.80","6,944.20","2,910.00",22-Mar-2021
BAJFINANCE,"5,453.25","5,446.50",-6.75,-0.12,"5,446.50",3964,"21,589,926.00","1,445,866,138,816.77","5,822.20","1,783.00",22-Mar-2021
MARUTI,"7,113.55","7,104.00",-9.55,-0.13,"7,104.00",992,"7,047,168.00","945,499,108,757.72","8,329.00","4,001.10",22-Mar-2021
SHREECEM,"26,936.70","26,900.00",-36.70,-0.14,"26,900.00",39,"1,049,100.00","359,601,625,321.09","29,090.00","15,410.00",22-Mar-2021
LT,"1,411.25","1,409.00",-2.25,-0.16,"1,409.00",7168,"10,099,712.00","1,704,311,245,517.80","1,593.00",661.00,22-Mar-2021
HDFCBANK,"1,497.50","1,494.90",-2.60,-0.17,"1,494.90",15976,"23,882,522.40","6,515,695,841,979.30","1,641.00",738.75,22-Mar-2021
SBILIFE,906.70,905.00,-1.70,-0.19,905.00,1611,"1,457,955.00","353,630,372,653.08",983.75,519.40,22-Mar-2021
TATASTEEL,733.00,731.10,-1.90,-0.26,731.10,28429,"20,784,441.90","553,230,267,184.98",782.50,250.85,22-Mar-2021
RELIANCE,"2,082.00","2,071.00",-11.00,-0.53,"2,071.00",40138,"83,125,798.00","6,731,344,945,310.40","2,369.35",866.98,22-Mar-2021
INDUSINDBK,"1,011.90","1,006.00",-5.90,-0.58,"1,006.00",10125,"10,185,750.00","574,509,107,397.15","1,119.50",235.55,22-Mar-2021
BRITANNIA,"3,466.60","3,440.10",-26.50,-0.76,"3,440.10",1119,"3,849,471.90","409,147,077,107.66","4,010.00","2,100.00",22-Mar-2021
TATAMOTORS,308.95,306.45,-2.50,-0.81,306.45,177514,"54,399,165.30","553,936,905,358.25",357.00,63.50,22-Mar-2021
ASIANPAINT,"2,411.25","2,390.00",-21.25,-0.88,"2,390.00",9451,"22,587,890.00","1,087,046,865,434.63","2,873.45","1,431.20",22-Mar-2021
AXISBANK,726.25,719.00,-7.25,-1.00,719.00,66598,"47,883,962.00","1,800,771,061,221.56",799.00,286.00,22-Mar-2021
IOC,98.05,101.00,2.95,3.01,101.00,212347,"21,447,047.00","249,225,736,221.57",112.90,71.15,01-Mar-2021
ONGC,111.00,114.30,3.30,2.97,114.30,180565,"20,638,579.50","404,959,187,641.14",120.50,50.00,01-Mar-2021
TATAMOTORS,322.95,330.00,7.05,2.18,330.00,271468,"89,584,440.00","578,598,789,059.03",341.90,63.50,01-Mar-2021
COALINDIA,152.20,155.50,3.30,2.17,155.50,97699,"15,192,194.50","318,908,865,465.60",180.20,109.55,01-Mar-2021
NTPC,107.30,109.50,2.20,2.05,109.50,142056,"15,555,132.00","520,226,138,110.56",111.00,73.20,01-Mar-2021
HDFCBANK,"1,534.40","1,564.00",29.60,1.93,"1,564.00",95018,"148,608,152.00","6,676,249,549,204.03","1,641.00",738.75,01-Mar-2021
AXISBANK,724.80,738.00,13.20,1.82,738.00,30677,"22,639,626.00","1,797,175,717,966.80",799.00,286.00,01-Mar-2021
M&M,806.40,821.00,14.60,1.81,821.00,12208,"10,022,768.00","771,933,059,960.83",952.05,245.40,01-Mar-2021
JSWSTEEL,395.45,402.60,7.15,1.81,402.60,16776,"6,754,017.60","382,355,929,199.20",426.60,132.50,01-Mar-2021
TECHM,918.85,935.45,16.60,1.81,935.45,8048,"7,528,501.60","568,828,726,472.64","1,081.55",471.40,01-Mar-2021
KOTAKBANK,"1,780.35","1,811.00",30.65,1.72,"1,811.00",21744,"39,378,384.00","2,608,285,713,870.41","2,049.00","1,001.00",01-Mar-2021
ULTRACEMCO,"6,115.00","6,218.80",103.80,1.70,"6,218.80",2809,"17,468,609.20","706,005,872,076.00","6,589.00","2,910.00",01-Mar-2021
ICICIBANK,597.75,607.55,9.80,1.64,607.55,107433,"65,270,919.15","4,126,471,956,624.75",679.40,268.30,01-Mar-2021
GAIL,141.80,144.10,2.30,1.62,144.10,58673,"8,454,779.30","262,210,627,805.51",152.80,65.00,01-Mar-2021
MARUTI,"6,866.15","6,977.00",110.85,1.61,"6,977.00",3946,"27,531,242.00","912,615,881,746.36","8,329.00","4,001.10",01-Mar-2021
BAJAJFINSV,"9,648.60","9,799.00",150.40,1.56,"9,799.00",1021,"10,004,779.00","583,472,346,027.79","10,579.00","3,985.30",01-Mar-2021
HDFCLIFE,700.65,711.30,10.65,1.52,711.30,10290,"7,319,277.00","551,953,120,143.03",744.00,340.00,01-Mar-2021
UPL,561.55,570.00,8.45,1.50,570.00,7941,"4,526,370.00","308,915,802,588.10",601.15,240.15,01-Mar-2021
POWERGRID,214.30,217.50,3.20,1.49,217.50,26648,"5,795,940.00","549,353,534,167.54",238.30,122.15,01-Mar-2021
BPCL,449.85,456.00,6.15,1.37,456.00,21328,"9,725,568.00","361,060,188,348.71",481.00,252.00,01-Mar-2021
ADANIPORTS,675.90,684.60,8.70,1.29,684.60,18766,"12,847,203.60","494,373,965,493.56",711.35,203.00,01-Mar-2021
SBIN,390.15,395.10,4.95,1.27,395.10,101944,"40,278,074.40","1,497,232,991,695.74",427.70,149.45,01-Mar-2021
TATASTEEL,715.15,724.00,8.85,1.24,724.00,20056,"14,520,544.00","539,758,015,794.46",753.00,250.85,01-Mar-2021
RELIANCE,"2,085.80","2,110.20",24.40,1.17,"2,110.20",81378,"171,723,855.60","6,743,630,781,425.76","2,369.35",866.98,01-Mar-2021
INDUSINDBK,"1,062.95","1,075.00",12.05,1.13,"1,075.00",12174,"13,087,050.00","603,492,890,313.08","1,139.40",235.55,01-Mar-2021
TCS,"2,894.30","2,926.00",31.70,1.10,"2,926.00",13127,"38,409,602.00","3,040,947,575,281.22","3,339.80","1,506.05",01-Mar-2021
TITAN,"1,406.90","1,421.50",14.60,1.04,"1,421.50",5473,"7,779,869.50","587,042,383,796.88","1,621.35",720.90,01-Mar-2021
