prev_close,iep,change,final_price,low_52,high_52,high
27510.35,27884.10,373.75,27884.10,18183.55,32048.00,27975
30057.75,30420.00,362.25,30420.00,18000.00,32048.00,30655.8
29881.05,30200.00,318.95,30200.00,16222.30,32048.00,30699.9
27059.95,27340.00,280.05,27207.00,18183.55,32048.00,27280
27655.10,27920.00,264.90,27920.00,18183.55,32048.00,28515
27457.40,27722.00,264.60,27722.00,20113.10,32048.00,27786.75
28225.80,28475.80,250.00,28475.80,18183.55,32048.00,28564.55
30356.05,30599.00,242.95,30599.00,16222.30,32048.00,30896.05
27618.70,27847.30,228.60,27847.30,20113.10,32048.00,28014.25
26593.00,26819.00,226.00,26819.00,18183.55,32048.00,27050
29411.80,29632.15,220.35,29632.15,18183.55,32048.00,29820
28386.60,28599.00,212.40,28599.00,18183.55,32048.00,28999
28193.05,28395.70,202.65,28395.70,21105.05,32048.00,29000
30660.65,30860.00,199.35,30650.15,18183.55,32048.00,31039.4
26987.60,27184.60,197.00,27000.00,18183.55,32048.00,27925
27502.75,27698.50,195.75,27698.50,18183.55,32048.00,28419
27491.45,27680.00,188.55,27680.00,18183.55,32048.00,27877.45
27815.70,27997.80,182.10,27997.80,20113.10,32048.00,28300
27014.90,27190.00,175.10,27190.00,18183.55,32048.00,27250
27705.80,27880.50,174.70,27880.50,20113.10,32048.00,28240
27328.25,27500.00,171.75,27500.00,18000.00,32048.00,27675
27532.70,27700.00,167.30,27700.00,18075.00,32048.00,27800
28059.35,28219.20,159.85,28219.20,20097.95,32048.00,28219.2
28407.35,28562.00,154.65,28562.00,18183.55,32048.00,29124
26547.50,26700.00,152.50,26700.00,18183.55,32048.00,27062.15
30101.90,30250.00,148.10,30250.00,18183.55,32048.00,30354.65
29133.15,29280.00,146.85,29280.00,18183.55,32048.00,29429.8
27547.00,27690.00,143.00,27690.00,18183.55,32048.00,28090
28106.30,28249.00,142.70,28249.00,18000.00,32048.00,28444.15
27840.00,27979.00,139.00,27979.00,18000.00,32048.00,28035.15
28107.75,28244.00,136.25,28244.00,20424.75,32048.00,28437.3
26600.40,26735.00,134.60,26735.00,18183.55,32048.00,26735
30305.40,30440.00,134.60,30440.00,17368.00,32048.00,30988.8
